Name,Manuf,Type,Sugars,Rating
All-Bran_with_Extra_Fiber,K,C,0,93.704912
Trix,G,C,12,27.753301
Almond_Delight,R,C,8,34.384843
Honey-comb,P,C,11,28.742414
Rice_Krispies,K,C,3,40.560159
Clusters,G,C,7,40.400208
Corn_Flakes,K,C,2,45.863324
Cap'n'Crunch,Q,C,12,18.042851
Corn_Chex,R,C,3,41.445019
Just_Right_Fruit_&_Nut,K,C,9,36.471512
Honey_Nut_Cheerios,G,C,10,31.072217
Cinnamon_Toast_Crunch,G,C,9,19.823573
Fruity_Pebbles,P,C,12,28.025765
Golden_Crisp,P,C,15,35.252444
Frosted_Flakes,K,C,11,31.435973
Maypo,A,H,3,54.850917
Shredded_Wheat,N,C,0,68.235885
Crispix,K,C,3,46.895644
100%_Bran,N,C,6,68.402973
All-Bran,K,C,5,59.425505
